"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"201","Colton Dowell (TEN)","1","2","3","3.0","3","0","0","0","0","0","0","9","1.3","0.1","0.0%"
"202","Kwamie Lassiter II (CIN)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"203","Antoine Green (DET)","1","2","2","2.0","2","0","0","0","0","0","0","9","1.2","0.1","0.1%"
"204","Dee Eskridge (SEA)","0","1","0","0","0","0","0","2","5","0","0","4","0.5","0.1","0.1%"
"205","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"206","Marcus Simms (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Cody White (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Freddie Swain (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Austin Mack (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Tyrie Cleveland (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Denzel Mims (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Tarik Black (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Marquez Callaway (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"216","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Stanley Morgan Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"219","David Sills (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"220","Davion Davis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Andy Isabella (BUF)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"222","Juwann Winfree (IND)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"223","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Alex Bachman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Tyron Billy-Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"227","Jeff Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"230","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Amari Rodgers (FA)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"233","Anthony Schwartz (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Dan Chisena (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"237","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"238","Nikko Remigio (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Ty Scott (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Daewood Davis (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
